season,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,week,week_total_score,week_judge_percentage,participation_weeks
6,Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,Eliminated Week 5,8,6,0.0,0.0,10
6,Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,Eliminated Week 6,7,6,21.0,11.67,10
6,Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,Eliminated Week 7,6,6,24.0,13.33,10
6,Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,Eliminated Week 9,4,6,26.0,14.44,10
6,Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,2nd Place,2,6,24.0,13.33,10
6,Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,1st Place,1,6,30.0,16.67,10
6,Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,Eliminated Week 2,11,6,0.0,0.0,10
6,Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,Eliminated Week 2,12,6,0.0,0.0,10
6,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,6,0.0,0.0,10
6,Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,Eliminated Week 8,5,6,28.0,15.56,10
6,Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,3rd Place,3,7,23.0,14.89,10
6,Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,Eliminated Week 3,10,7,0.0,0.0,10
6,Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,Eliminated Week 5,8,7,0.0,0.0,10
6,Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,Eliminated Week 6,7,7,0.0,0.0,10
6,Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,Eliminated Week 7,6,7,25.5,16.5,10
6,Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,Eliminated Week 9,4,7,26.0,16.83,10
6,Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,2nd Place,2,7,27.5,17.8,10
6,Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,1st Place,1,7,27.0,17.48,10
6,Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,Eliminated Week 2,11,7,0.0,0.0,10
6,Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,Eliminated Week 2,12,7,0.0,0.0,10
6,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,7,0.0,0.0,10
6,Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,Eliminated Week 8,5,7,25.5,16.5,10
6,Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,3rd Place,3,8,28.5,21.35,10
6,Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,Eliminated Week 3,10,8,0.0,0.0,10
6,Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,Eliminated Week 5,8,8,0.0,0.0,10
6,Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,Eliminated Week 6,7,8,0.0,0.0,10
6,Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,Eliminated Week 7,6,8,0.0,0.0,10
6,Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,Eliminated Week 9,4,8,25.0,18.73,10
6,Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,2nd Place,2,8,26.0,19.48,10
6,Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,1st Place,1,8,27.5,20.6,10
6,Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,Eliminated Week 2,11,8,0.0,0.0,10
6,Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,Eliminated Week 2,12,8,0.0,0.0,10
6,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,8,0.0,0.0,10
6,Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,Eliminated Week 8,5,8,26.5,19.85,10
6,Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,3rd Place,3,9,28.0,25.45,10
6,Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,Eliminated Week 3,10,9,0.0,0.0,10
6,Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,Eliminated Week 5,8,9,0.0,0.0,10
6,Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,Eliminated Week 6,7,9,0.0,0.0,10
6,Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,Eliminated Week 7,6,9,0.0,0.0,10
6,Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,Eliminated Week 9,4,9,26.0,23.64,10
6,Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,2nd Place,2,9,27.5,25.0,10
6,Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,1st Place,1,9,28.5,25.91,10
6,Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,Eliminated Week 2,11,9,0.0,0.0,10
6,Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,Eliminated Week 2,12,9,0.0,0.0,10
6,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,9,0.0,0.0,10
6,Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,Eliminated Week 8,5,9,0.0,0.0,10
6,Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,3rd Place,3,10,26.0,30.77,10
6,Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,Eliminated Week 3,10,10,0.0,0.0,10
6,Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,Eliminated Week 5,8,10,0.0,0.0,10
6,Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,Eliminated Week 6,7,10,0.0,0.0,10
6,Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,Eliminated Week 7,6,10,0.0,0.0,10
6,Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,Eliminated Week 9,4,10,0.0,0.0,10
6,Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,2nd Place,2,10,28.5,33.73,10
6,Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,1st Place,1,10,30.0,35.5,10
6,Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,Eliminated Week 2,11,10,0.0,0.0,10
6,Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,Eliminated Week 2,12,10,0.0,0.0,10
6,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,10,0.0,0.0,10
6,Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,Eliminated Week 8,5,10,0.0,0.0,10
6,Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,3rd Place,3,11,,,10
6,Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,Eliminated Week 3,10,11,,,10
6,Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,Eliminated Week 5,8,11,,,10
6,Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,Eliminated Week 6,7,11,,,10
6,Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,Eliminated Week 7,6,11,,,10
6,Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,Eliminated Week 9,4,11,,,10
6,Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,2nd Place,2,11,,,10
6,Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,1st Place,1,11,,,10
6,Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,Eliminated Week 2,11,11,,,10
6,Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,Eliminated Week 2,12,11,,,10
6,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,11,,,10
6,Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,Eliminated Week 8,5,11,,,10
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,Eliminated Week 1,12,1,18.5,7.34,10
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,Eliminated Week 6,7,1,16.0,6.35,10
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,Eliminated Week 7,6,1,18.5,7.34,10
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,Eliminated Week 9,4,1,20.5,8.13,10
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,Withdrew,10,1,21.0,8.33,10
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,Eliminated Week 8,5,1,19.5,7.74,10
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2nd Place,2,1,21.5,8.53,10
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,Eliminated Week 1,13,1,12.0,4.76,10
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,Eliminated Week 5,8,1,22.5,8.93,10
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3rd Place,3,1,21.5,8.53,10
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,Eliminated Week 2,11,1,18.5,7.34,10
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,Eliminated Week 4,9,1,17.5,6.94,10
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1st Place,1,1,24.5,9.72,10
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,Eliminated Week 1,12,2,0.0,0.0,10
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,Eliminated Week 6,7,2,15.0,6.79,10
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,Eliminated Week 7,6,2,21.0,9.5,10
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,Eliminated Week 9,4,2,21.0,9.5,10
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,Withdrew,10,2,21.0,9.5,10
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,Eliminated Week 8,5,2,19.0,8.6,10
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2nd Place,2,2,24.0,10.86,10
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,Eliminated Week 1,13,2,0.0,0.0,10
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,Eliminated Week 5,8,2,23.0,10.41,10
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3rd Place,3,2,20.0,9.05,10
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,Eliminated Week 2,11,2,17.0,7.69,10
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,Eliminated Week 4,9,2,16.0,7.24,10
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1st Place,1,2,24.0,10.86,10
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,Eliminated Week 1,12,3,0.0,0.0,10
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,Eliminated Week 6,7,3,16.0,8.04,10
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,Eliminated Week 7,6,3,21.0,10.55,10
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,Eliminated Week 9,4,3,21.0,10.55,10
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,Withdrew,10,3,0.0,0.0,10
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,Eliminated Week 8,5,3,24.0,12.06,10
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2nd Place,2,3,25.0,12.56,10
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,Eliminated Week 1,13,3,0.0,0.0,10
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,Eliminated Week 5,8,3,22.0,11.06,10
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3rd Place,3,3,22.0,11.06,10
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,Eliminated Week 2,11,3,0.0,0.0,10
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,Eliminated Week 4,9,3,20.0,10.05,10
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1st Place,1,3,28.0,14.07,10
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,Eliminated Week 1,12,4,0.0,0.0,10
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,Eliminated Week 6,7,4,22.0,10.84,10
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,Eliminated Week 7,6,4,24.0,11.82,10
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,Eliminated Week 9,4,4,23.0,11.33,10
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,Withdrew,10,4,0.0,0.0,10
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,Eliminated Week 8,5,4,20.0,9.85,10
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2nd Place,2,4,22.0,10.84,10
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,Eliminated Week 1,13,4,0.0,0.0,10
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,Eliminated Week 5,8,4,22.0,10.84,10
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3rd Place,3,4,26.0,12.81,10
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,Eliminated Week 2,11,4,0.0,0.0,10
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,Eliminated Week 4,9,4,18.0,8.87,10
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1st Place,1,4,26.0,12.81,10
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,Eliminated Week 1,12,5,0.0,0.0,10
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,Eliminated Week 6,7,5,21.0,10.77,10
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,Eliminated Week 7,6,5,22.0,11.28,10
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,Eliminated Week 9,4,5,28.0,14.36,10
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,Withdrew,10,5,0.0,0.0,10
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,Eliminated Week 8,5,5,27.0,13.85,10
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2nd Place,2,5,25.0,12.82,10
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,Eliminated Week 1,13,5,0.0,0.0,10
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,Eliminated Week 5,8,5,22.0,11.28,10
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3rd Place,3,5,21.0,10.77,10
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,Eliminated Week 2,11,5,0.0,0.0,10
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,Eliminated Week 4,9,5,0.0,0.0,10
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1st Place,1,5,29.0,14.87,10
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,Eliminated Week 1,12,6,0.0,0.0,10
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,Eliminated Week 6,7,6,15.0,9.38,10
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,Eliminated Week 7,6,6,23.0,14.37,10
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,Eliminated Week 9,4,6,23.0,14.37,10
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,Withdrew,10,6,0.0,0.0,10
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,Eliminated Week 8,5,6,21.0,13.12,10
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2nd Place,2,6,25.0,15.62,10
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,Eliminated Week 1,13,6,0.0,0.0,10
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,Eliminated Week 5,8,6,0.0,0.0,10
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3rd Place,3,6,27.0,16.88,10
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,Eliminated Week 2,11,6,0.0,0.0,10
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,Eliminated Week 4,9,6,0.0,0.0,10
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1st Place,1,6,26.0,16.25,10
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,Eliminated Week 1,12,7,0.0,0.0,10
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,Eliminated Week 6,7,7,0.0,0.0,10
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,Eliminated Week 7,6,7,24.0,16.33,10
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,Eliminated Week 9,4,7,22.0,14.97,10
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,Withdrew,10,7,0.0,0.0,10
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,Eliminated Week 8,5,7,25.0,17.01,10
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2nd Place,2,7,21.0,14.29,10
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,Eliminated Week 1,13,7,0.0,0.0,10
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,Eliminated Week 5,8,7,0.0,0.0,10
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3rd Place,3,7,25.0,17.01,10
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,Eliminated Week 2,11,7,0.0,0.0,10
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,Eliminated Week 4,9,7,0.0,0.0,10
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1st Place,1,7,30.0,20.41,10
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,Eliminated Week 1,12,8,0.0,0.0,10
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,Eliminated Week 6,7,8,0.0,0.0,10
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,Eliminated Week 7,6,8,0.0,0.0,10
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,Eliminated Week 9,4,8,24.0,18.82,10
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,Withdrew,10,8,0.0,0.0,10
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,Eliminated Week 8,5,8,24.0,18.82,10
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2nd Place,2,8,27.0,21.18,10
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,Eliminated Week 1,13,8,0.0,0.0,10
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,Eliminated Week 5,8,8,0.0,0.0,10
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3rd Place,3,8,25.0,19.61,10
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,Eliminated Week 2,11,8,0.0,0.0,10
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,Eliminated Week 4,9,8,0.0,0.0,10
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1st Place,1,8,27.5,21.57,10
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,Eliminated Week 1,12,9,0.0,0.0,10
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,Eliminated Week 6,7,9,0.0,0.0,10
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,Eliminated Week 7,6,9,0.0,0.0,10
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,Eliminated Week 9,4,9,23.0,22.89,10
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,Withdrew,10,9,0.0,0.0,10
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,Eliminated Week 8,5,9,0.0,0.0,10
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2nd Place,2,9,24.5,24.38,10
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,Eliminated Week 1,13,9,0.0,0.0,10
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,Eliminated Week 5,8,9,0.0,0.0,10
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3rd Place,3,9,28.5,28.36,10
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,Eliminated Week 2,11,9,0.0,0.0,10
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,Eliminated Week 4,9,9,0.0,0.0,10
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1st Place,1,9,24.5,24.38,10
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,Eliminated Week 1,12,10,0.0,0.0,10
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,Eliminated Week 6,7,10,0.0,0.0,10
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,Eliminated Week 7,6,10,0.0,0.0,10
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,Eliminated Week 9,4,10,0.0,0.0,10
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,Withdrew,10,10,0.0,0.0,10
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,Eliminated Week 8,5,10,0.0,0.0,10
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2nd Place,2,10,27.5,32.35,10
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,Eliminated Week 1,13,10,0.0,0.0,10
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,Eliminated Week 5,8,10,0.0,0.0,10
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3rd Place,3,10,27.5,32.35,10
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,Eliminated Week 2,11,10,0.0,0.0,10
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,Eliminated Week 4,9,10,0.0,0.0,10
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1st Place,1,10,30.0,35.29,10
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,Eliminated Week 1,12,11,,,10
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,Eliminated Week 6,7,11,,,10
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,Eliminated Week 7,6,11,,,10
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,Eliminated Week 9,4,11,,,10
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,Withdrew,10,11,,,10
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,Eliminated Week 8,5,11,,,10
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2nd Place,2,11,,,10
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,Eliminated Week 1,13,11,,,10
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,Eliminated Week 5,8,11,,,10
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3rd Place,3,11,,,10
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,Eliminated Week 2,11,11,,,10
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,Eliminated Week 4,9,11,,,10
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1st Place,1,11,,,10
8,Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,2nd Place,2,1,24.0,9.88,11
8,Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,Eliminated Week 3,12,1,18.0,7.41,11
8,David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,Eliminated Week 5,9,1,19.0,7.82,11
8,Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,Eliminated Week 7,7,1,16.0,6.58,11
8,Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,Eliminated Week 10,4,1,14.0,5.76,11
8,Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,1st Place,1,1,23.0,9.47,11
8,Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,Eliminated Week 4,10,1,13.0,5.35,11
8,Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,Eliminated Week 2,13,1,17.0,7.0,11
8,Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,Eliminated Week 8,6,1,20.0,8.23,11
8,Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,Eliminated Week 9,5,1,21.0,8.64,11
8,Steve-O,Lacey Schwimmer,TV Personality,,England,34,Eliminated Week 6,8,1,17.0,7.0,11
8,Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,Eliminated Week 4,11,1,18.0,7.41,11
8,Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,3rd Place,3,1,23.0,9.47,11
8,Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,2nd Place,2,2,27.0,10.19,11
8,Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,Eliminated Week 3,12,2,21.0,7.92,11
8,David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,Eliminated Week 5,9,2,17.0,6.42,11
8,Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,Eliminated Week 7,7,2,20.0,7.55,11
8,Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,Eliminated Week 10,4,2,20.0,7.55,11
8,Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,1st Place,1,2,24.0,9.06,11
8,Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,Eliminated Week 4,10,2,17.0,6.42,11
8,Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,Eliminated Week 2,13,2,18.0,6.79,11
8,Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,Eliminated Week 8,6,2,20.0,7.55,11
8,Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,Eliminated Week 9,5,2,23.0,8.68,11
8,Steve-O,Lacey Schwimmer,TV Personality,,England,34,Eliminated Week 6,8,2,14.0,5.28,11
8,Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,Eliminated Week 4,11,2,18.0,6.79,11
8,Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,3rd Place,3,2,26.0,9.81,11
8,Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,2nd Place,2,3,27.0,10.63,11
