season,week,celebrity,total_score,avg_score,placement,results,n_judges,,,,season,week,celebrity,vote_pct
10,8,Niecy Nash,21.5,7.166666666666667,5,Eliminated Week 8,3,,,,10,2,Niecy Nash,0.08701890027351676
10,1,Buzz Aldrin,14,4.666666666666667,10,Eliminated Week 3,3,,,,10,2,Buzz Aldrin,0.12918884917790258
10,2,Buzz Aldrin,12,4,10,Eliminated Week 3,3,,,,10,2,Chad Ochocinco,0.11460231933417712
10,3,Buzz Aldrin,13,4.333333333333333,10,Eliminated Week 3,3,,,,10,2,Evan Lysacek,0.10347610091547121
10,1,Chad Ochocinco,18,6,4,Eliminated Week 9,3,,,,10,2,Pamela Anderson,0.08869355860590235
10,2,Chad Ochocinco,16,5.333333333333333,4,Eliminated Week 9,3,,,,10,2,Nicole Scherzinger,0.08189122631697895
10,3,Chad Ochocinco,20,6.666666666666667,4,Eliminated Week 9,3,,,,10,2,Erin Andrews,0.09191301433689862
10,4,Chad Ochocinco,22,7.333333333333333,4,Eliminated Week 9,3,,,,10,2,Kate Gosselin,0.0963577244290414
10,5,Chad Ochocinco,18,6,4,Eliminated Week 9,3,,,,10,2,Jake Pavelka,0.09163318681605753
10,6,Chad Ochocinco,30.999899999999997,10.3333,4,Eliminated Week 9,3,,,,10,3,Aiden Turner,0.10490165894636372
10,7,Chad Ochocinco,26,8.666666666666666,4,Eliminated Week 9,3,,,,10,3,Niecy Nash,0.10416409125335829
10,8,Chad Ochocinco,22.5,7.5,4,Eliminated Week 9,3,,,,10,3,Buzz Aldrin,0.03830748865554227
10,9,Chad Ochocinco,26,8.666666666666666,4,Eliminated Week 9,3,,,,10,3,Chad Ochocinco,0.10775648000255697
10,1,Evan Lysacek,23,7.666666666666667,2,2nd Place,3,,,,10,3,Evan Lysacek,0.10650684892658308
10,2,Evan Lysacek,24,8,2,2nd Place,3,,,,10,3,Pamela Anderson,0.10977594264531032
10,3,Evan Lysacek,26,8.666666666666666,2,2nd Place,3,,,,10,3,Nicole Scherzinger,0.10415701805730437
10,4,Evan Lysacek,26,8.666666666666666,2,2nd Place,3,,,,10,3,Erin Andrews,0.1076584313345949
10,5,Evan Lysacek,27,9,2,2nd Place,3,,,,10,3,Kate Gosselin,0.11092582268124838
10,6,Evan Lysacek,27,9,2,2nd Place,3,,,,10,3,Jake Pavelka,0.10584621749713768
10,7,Evan Lysacek,27,9,2,2nd Place,3,,,,10,4,Aiden Turner,0.03432036169434798
10,8,Evan Lysacek,26.5,8.833333333333334,2,2nd Place,3,,,,10,4,Niecy Nash,0.12260074137425309
10,9,Evan Lysacek,29.5,9.833333333333334,2,2nd Place,3,,,,10,4,Chad Ochocinco,0.11835644387044193
10,10,Evan Lysacek,26.8887,8.9629,2,2nd Place,3,,,,10,4,Evan Lysacek,0.11616341666301608
10,1,Pamela Anderson,21,7,6,Eliminated Week 7,3,,,,10,4,Pamela Anderson,0.1124760859123844
10,2,Pamela Anderson,22,7.333333333333333,6,Eliminated Week 7,3,,,,10,4,Nicole Scherzinger,0.12233863415570022
10,3,Pamela Anderson,21,7,6,Eliminated Week 7,3,,,,10,4,Erin Andrews,0.12161847793532868
10,4,Pamela Anderson,23.5,7.833333333333333,6,Eliminated Week 7,3,,,,10,4,Kate Gosselin,0.1238814629939067
10,5,Pamela Anderson,21,7,6,Eliminated Week 7,3,,,,10,4,Jake Pavelka,0.12824437540062086
10,6,Pamela Anderson,29.9998,9.999933333333333,6,Eliminated Week 7,3,,,,10,5,Niecy Nash,0.13300184750975594
10,7,Pamela Anderson,25.5,8.5,6,Eliminated Week 7,3,,,,10,5,Chad Ochocinco,0.15087608599357988
10,1,Nicole Scherzinger,25,8.333333333333334,1,1st Place,3,,,,10,5,Evan Lysacek,0.12389197788188319
10,2,Nicole Scherzinger,28,9.333333333333334,1,1st Place,3,,,,10,5,Pamela Anderson,0.13790286683114342
10,3,Nicole Scherzinger,23,7.666666666666667,1,1st Place,3,,,,10,5,Nicole Scherzinger,0.13798788813619967
10,4,Nicole Scherzinger,25,8.333333333333334,1,1st Place,3,,,,10,5,Erin Andrews,0.13678509868502214
10,5,Nicole Scherzinger,29,9.666666666666666,1,1st Place,3,,,,10,5,Kate Gosselin,0.04654601682267959
10,6,Nicole Scherzinger,35.9999,11.999966666666666,1,1st Place,3,,,,10,5,Jake Pavelka,0.13300821813973626
10,7,Nicole Scherzinger,27,9,1,1st Place,3,,,,10,6,Niecy Nash,0.16154564208456576
10,8,Nicole Scherzinger,29.5,9.833333333333334,1,1st Place,3,,,,10,6,Chad Ochocinco,0.1603552997057589
10,9,Nicole Scherzinger,29.5,9.833333333333334,1,1st Place,3,,,,10,6,Evan Lysacek,0.16416644865475166
10,10,Nicole Scherzinger,28.7777,9.592566666666666,1,1st Place,3,,,,10,6,Pamela Anderson,0.16317847044875872
10,1,Erin Andrews,21,7,3,3rd Place,3,,,,10,6,Nicole Scherzinger,0.14981402787879447
10,2,Erin Andrews,23,7.666666666666667,3,3rd Place,3,,,,10,6,Erin Andrews,0.14957717682003752
10,3,Erin Andrews,23,7.666666666666667,3,3rd Place,3,,,,10,6,Jake Pavelka,0.05136293440733297
10,4,Erin Andrews,19.5,6.5,3,3rd Place,3,,,,10,7,Niecy Nash,0.1922710604844449
10,5,Erin Andrews,22,7.333333333333333,3,3rd Place,3,,,,10,7,Chad Ochocinco,0.18749327894087928
10,6,Erin Andrews,34,11.333333333333334,3,3rd Place,3,,,,10,7,Evan Lysacek,0.19840676882007252
10,7,Erin Andrews,25.5,8.5,3,3rd Place,3,,,,10,7,Pamela Anderson,0.05545976686448134
10,8,Erin Andrews,26.5,8.833333333333334,3,3rd Place,3,,,,10,7,Nicole Scherzinger,0.17990987992206128
10,9,Erin Andrews,28,9.333333333333334,3,3rd Place,3,,,,10,7,Erin Andrews,0.18645924496806074
10,10,Erin Andrews,26.9998,8.999933333333333,3,3rd Place,3,,,,10,8,Niecy Nash,0.07994716524741691
10,1,Kate Gosselin,16,5.333333333333333,8,Eliminated Week 5,3,,,,10,8,Chad Ochocinco,0.23829240449597724
10,2,Kate Gosselin,15,5,8,Eliminated Week 5,3,,,,10,8,Evan Lysacek,0.2337130344953717
10,3,Kate Gosselin,15,5,8,Eliminated Week 5,3,,,,10,8,Nicole Scherzinger,0.2194686378495551
10,4,Kate Gosselin,16,5.333333333333333,8,Eliminated Week 5,3,,,,10,8,Erin Andrews,0.22857875791167914
10,5,Kate Gosselin,15,5,8,Eliminated Week 5,3,,,,10,9,Chad Ochocinco,0.10745366855778386
10,1,Jake Pavelka,20,6.666666666666667,7,Eliminated Week 6,3,,,,10,9,Evan Lysacek,0.2913449040036931
10,2,Jake Pavelka,20,6.666666666666667,7,Eliminated Week 6,3,,,,10,9,Nicole Scherzinger,0.29318257149523125
10,3,Jake Pavelka,21,7,7,Eliminated Week 6,3,,,,10,9,Erin Andrews,0.30801885594329176
10,4,Jake Pavelka,19,6.333333333333333,7,Eliminated Week 6,3,,,,10,10,Evan Lysacek,0.29577464788732394
10,5,Jake Pavelka,23,7.666666666666667,7,Eliminated Week 6,3,,,,10,10,Nicole Scherzinger,0.4929577464788732
10,6,Jake Pavelka,24.999899999999997,8.3333,7,Eliminated Week 6,3,,,,10,10,Erin Andrews,0.21126760563380279
11,1,David Hasselhoff,15,5,12,Eliminated Week 1,3,,,,11,1,David Hasselhoff,0.023414453263825397
11,1,Florence Henderson,18,6,8,Eliminated Week 5,3,,,,11,1,Florence Henderson,0.08699348666152767
11,2,Florence Henderson,19,6.333333333333333,8,Eliminated Week 5,3,,,,11,1,Kyle Massey,0.07975924643776254
11,3,Florence Henderson,20,6.666666666666667,8,Eliminated Week 5,3,,,,11,1,Jennifer Grey,0.09333848098123368
11,4,Florence Henderson,17.5,5.833333333333333,8,Eliminated Week 5,3,,,,11,1,Rick Fox,0.08277662897328585
11,5,Florence Henderson,21,7,8,Eliminated Week 5,3,,,,11,1,Kurt Warner,0.09032790796715631
11,1,Kyle Massey,23,7.666666666666667,2,2nd Place,3,,,,11,1,Margaret Cho,0.09820453984946545
11,2,Kyle Massey,22,7.333333333333333,2,2nd Place,3,,,,11,1,Michael Bolton,0.09932803421432564
11,3,Kyle Massey,23,7.666666666666667,2,2nd Place,3,,,,11,1,Brandy,0.08162093222445074
11,4,Kyle Massey,20,6.666666666666667,2,2nd Place,3,,,,11,1,The Situation,0.08874808953373667
11,5,Kyle Massey,20,6.666666666666667,2,2nd Place,3,,,,11,1,Audrina Patridge,0.08884971636850732
11,6,Kyle Massey,29.999899999999997,9.999966666666666,2,2nd Place,3,,,,11,1,Bristol Palin,0.08663848352472277
11,7,Kyle Massey,33.5,8.375,2,2nd Place,4,,,,11,2,Florence Henderson,0.09920838697848819
11,8,Kyle Massey,28,9.333333333333334,2,2nd Place,3,,,,11,2,Kyle Massey,0.09310811275318143
11,9,Kyle Massey,29,9.666666666666666,2,2nd Place,3,,,,11,2,Jennifer Grey,0.09317590085589275
11,10,Kyle Massey,27.333199999999998,9.111066666666666,2,2nd Place,3,,,,11,2,Rick Fox,0.09877530883575578
11,1,Jennifer Grey,24,8,1,1st Place,3,,,,11,2,Kurt Warner,0.09499757705347771
11,2,Jennifer Grey,24,8,1,1st Place,3,,,,11,2,Margaret Cho,0.09812913781498635
11,3,Jennifer Grey,24,8,1,1st Place,3,,,,11,2,Michael Bolton,0.03764528184784657
11,4,Jennifer Grey,28,9.333333333333334,1,1st Place,3,,,,11,2,Brandy,0.09555231361465849
11,5,Jennifer Grey,25,8.333333333333334,1,1st Place,3,,,,11,2,The Situation,0.09901661284575074
11,6,Jennifer Grey,29,9.666666666666666,1,1st Place,3,,,,11,2,Audrina Patridge,0.09193831085396949
11,7,Jennifer Grey,36.5,9.125,1,1st Place,4,,,,11,2,Bristol Palin,0.09845305654599247
11,8,Jennifer Grey,28.5,9.5,1,1st Place,3,,,,11,3,Florence Henderson,0.11143793721053634
11,9,Jennifer Grey,30,10,1,1st Place,3,,,,11,3,Kyle Massey,0.10179042382113351
11,10,Jennifer Grey,30,10,1,1st Place,3,,,,11,3,Jennifer Grey,0.1035855007642066
11,1,Rick Fox,22,7.333333333333333,6,Eliminated Week 7,3,,,,11,3,Rick Fox,0.10395171258593845
11,2,Rick Fox,21,7,6,Eliminated Week 7,3,,,,11,3,Kurt Warner,0.10361688965506428
11,3,Rick Fox,24,8,6,Eliminated Week 7,3,,,,11,3,Margaret Cho,0.032256777026691254
11,4,Rick Fox,19.5,6.5,6,Eliminated Week 7,3,,,,11,3,Brandy,0.10811555281714592
11,5,Rick Fox,24,8,6,Eliminated Week 7,3,,,,11,3,The Situation,0.11862768221266462
11,6,Rick Fox,30,10,6,Eliminated Week 7,3,,,,11,3,Audrina Patridge,0.10644120723899621
11,7,Rick Fox,34.5,8.625,6,Eliminated Week 7,4,,,,11,3,Bristol Palin,0.11017631666762279
11,1,Kurt Warner,19,6.333333333333333,5,Eliminated Week 8,3,,,,11,4,Florence Henderson,0.11852604667917865
11,2,Kurt Warner,21,7,5,Eliminated Week 8,3,,,,11,4,Kyle Massey,0.1209103883705012
11,3,Kurt Warner,23,7.666666666666667,5,Eliminated Week 8,3,,,,11,4,Jennifer Grey,0.11681761733237514
11,4,Kurt Warner,17,5.666666666666667,5,Eliminated Week 8,3,,,,11,4,Rick Fox,0.12085953071513304
11,5,Kurt Warner,24,8,5,Eliminated Week 8,3,,,,11,4,Kurt Warner,0.11825591695310832
11,6,Kurt Warner,21.9999,7.3333,5,Eliminated Week 8,3,,,,11,4,Brandy,0.12108548667472312
11,7,Kurt Warner,35,8.75,5,Eliminated Week 8,4,,,,11,4,The Situation,0.04089495609176928
11,8,Kurt Warner,24,8,5,Eliminated Week 8,3,,,,11,4,Audrina Patridge,0.11636295704731264
11,1,Margaret Cho,15,5,10,Eliminated Week 3,3,,,,11,4,Bristol Palin,0.12628710013589856
11,2,Margaret Cho,18,6,10,Eliminated Week 3,3,,,,11,5,Florence Henderson,0.03576608020940878
11,3,Margaret Cho,18,6,10,Eliminated Week 3,3,,,,11,5,Kyle Massey,0.1521333179049946
11,1,Michael Bolton,16,5.333333333333333,11,Eliminated Week 2,3,,,,11,5,Jennifer Grey,0.12439292354520765
11,2,Michael Bolton,12,4,11,Eliminated Week 2,3,,,,11,5,Rick Fox,0.1380091908830258
11,1,Brandy,23,7.666666666666667,4,Eliminated Week 9,3,,,,11,5,Kurt Warner,0.13245614344340678
11,2,Brandy,21,7,4,Eliminated Week 9,3,,,,11,5,Brandy,0.12521583146367515
11,3,Brandy,24,8,4,Eliminated Week 9,3,,,,11,5,Audrina Patridge,0.14510324048799852
11,4,Brandy,24,8,4,Eliminated Week 9,3,,,,11,5,Bristol Palin,0.1469232720622827
11,5,Brandy,27,9,4,Eliminated Week 9,3,,,,11,6,Kyle Massey,0.1408680083722067
11,6,Brandy,35.9999,11.999966666666666,4,Eliminated Week 9,3,,,,11,6,Jennifer Grey,0.16765467207713503
11,7,Brandy,36.5,9.125,4,Eliminated Week 9,4,,,,11,6,Rick Fox,0.1597299806314377
11,8,Brandy,28.5,9.5,4,Eliminated Week 9,3,,,,11,6,Kurt Warner,0.17438566605118674
11,9,Brandy,28.5,9.5,4,Eliminated Week 9,3,,,,11,6,Brandy,0.15211545097042936
11,1,The Situation,15,5,9,Eliminated Week 4,3,,,,11,6,Audrina Patridge,0.03566516978244103
11,2,The Situation,18,6,9,Eliminated Week 4,3,,,,11,6,Bristol Palin,0.16958105211516353
11,3,The Situation,20,6.666666666666667,9,Eliminated Week 4,3,,,,11,7,Kyle Massey,0.18823897265240727
11,4,The Situation,14,4.666666666666667,9,Eliminated Week 4,3,,,,11,7,Jennifer Grey,0.18715650349462107
11,1,Audrina Patridge,19,6.333333333333333,7,Eliminated Week 6,3,,,,11,7,Rick Fox,0.05230157832594045
11,2,Audrina Patridge,23,7.666666666666667,7,Eliminated Week 6,3,,,,11,7,Kurt Warner,0.1853988593115094
11,3,Audrina Patridge,26,8.666666666666666,7,Eliminated Week 6,3,,,,11,7,Brandy,0.18829231703832902
11,4,Audrina Patridge,23,7.666666666666667,7,Eliminated Week 6,3,,,,11,7,Bristol Palin,0.19861176917719278
11,5,Audrina Patridge,23,7.666666666666667,7,Eliminated Week 6,3,,,,11,8,Kyle Massey,0.2291937395426575
11,6,Audrina Patridge,31.9998,10.6666,7,Eliminated Week 6,3,,,,11,8,Jennifer Grey,0.22401765778250649
11,1,Bristol Palin,18,6,3,3rd Place,3,,,,11,8,Kurt Warner,0.07952556928670473
11,2,Bristol Palin,22,7.333333333333333,3,3rd Place,3,,,,11,8,Brandy,0.21901216696255368
11,3,Bristol Palin,19,6.333333333333333,3,3rd Place,3,,,,11,8,Bristol Palin,0.24825086642557756
11,4,Bristol Palin,16,5.333333333333333,3,3rd Place,3,,,,11,9,Kyle Massey,0.3004063807737671
11,5,Bristol Palin,18,6,3,3rd Place,3,,,,11,9,Jennifer Grey,0.284829700367243
11,6,Bristol Palin,27.9998,9.333266666666667,3,3rd Place,3,,,,11,9,Brandy,0.10317611256036921
11,7,Bristol Palin,32.5,8.125,3,3rd Place,4,,,,11,9,Bristol Palin,0.31158780629862076
11,8,Bristol Palin,23.5,7.833333333333333,3,3rd Place,3,,,,11,10,Kyle Massey,0.29577464788732394
11,9,Bristol Palin,26.5,8.833333333333334,3,3rd Place,3,,,,11,10,Jennifer Grey,0.4929577464788732
11,10,Bristol Palin,25.6666,8.555533333333335,3,3rd Place,3,,,,11,10,Bristol Palin,0.21126760563380279
12,1,Ralph Macchio,24,8,4,Eliminated Week 9,3,,,,12,1,Ralph Macchio,0.09075089108609499
12,2,Ralph Macchio,21,7,4,Eliminated Week 9,3,,,,12,1,Chelsea Kane,0.11667971711069357
12,3,Ralph Macchio,21,7,4,Eliminated Week 9,3,,,,12,1,Kirstie Alley,0.163351603954971
12,4,Ralph Macchio,25,8.333333333333334,4,Eliminated Week 9,3,,,,12,1,Hines Ward,0.272252673258285
12,5,Ralph Macchio,22,7.333333333333333,4,Eliminated Week 9,3,,,,12,1,Sugar Ray Leonard,0.04298726419867658
12,6,Ralph Macchio,24,8,4,Eliminated Week 9,3,,,,12,1,Chris Jericho,0.054450534651657
12,7,Ralph Macchio,33,8.25,4,Eliminated Week 9,4,,,,12,1,Petra Nemcova,0.04804458939852088
12,8,Ralph Macchio,23,7.666666666666667,4,Eliminated Week 9,3,,,,12,1,Mike Catherwood,0.03551121825108065
12,9,Ralph Macchio,24,8,4,Eliminated Week 9,3,,,,12,1,Romeo,0.07425072907044136
12,1,Chelsea Kane,21,7,3,3rd Place,3,,,,12,1,Wendy Williams,0.038893239036897856
12,2,Chelsea Kane,18,6,3,3rd Place,3,,,,12,1,Kendra Wilkinson,0.06282753998268116
12,3,Chelsea Kane,23,7.666666666666667,3,3rd Place,3,,,,12,2,Ralph Macchio,0.10371269099743839
12,4,Chelsea Kane,26,8.666666666666666,3,3rd Place,3,,,,12,2,Chelsea Kane,0.09785955134862376
12,5,Chelsea Kane,26,8.666666666666666,3,3rd Place,3,,,,12,2,Kirstie Alley,0.09515847159599189
12,6,Chelsea Kane,28,9.333333333333334,3,3rd Place,3,,,,12,2,Hines Ward,0.08979206348127514
12,7,Chelsea Kane,32,8,3,3rd Place,4,,,,12,2,Sugar Ray Leonard,0.09935699398006465
12,8,Chelsea Kane,27.5,9.166666666666666,3,3rd Place,3,,,,12,2,Chris Jericho,0.09627371755530773
12,9,Chelsea Kane,36.5,12.166666666666666,3,3rd Place,3,,,,12,2,Petra Nemcova,0.0997635894076919
12,10,Chelsea Kane,29.666600000000003,9.888866666666667,3,3rd Place,3,,,,12,2,Mike Catherwood,0.02648740768038671
12,1,Kirstie Alley,23,7.666666666666667,2,2nd Place,3,,,,12,2,Romeo,0.09470351807803853
12,2,Kirstie Alley,20,6.666666666666667,2,2nd Place,3,,,,12,2,Wendy Williams,0.10127401770266937
12,3,Kirstie Alley,21,7,2,2nd Place,3,,,,12,2,Kendra Wilkinson,0.09561797817251193
12,4,Kirstie Alley,22,7.333333333333333,2,2nd Place,3,,,,12,3,Ralph Macchio,0.10949730775838955
12,5,Kirstie Alley,23,7.666666666666667,2,2nd Place,3,,,,12,3,Chelsea Kane,0.11068117473958129
12,6,Kirstie Alley,26,8.666666666666666,2,2nd Place,3,,,,12,3,Kirstie Alley,0.1070769549879003
12,7,Kirstie Alley,30,7.5,2,2nd Place,4,,,,12,3,Hines Ward,0.09802799797907587
12,8,Kirstie Alley,26.5,8.833333333333334,2,2nd Place,3,,,,12,3,Sugar Ray Leonard,0.10680927065253995
12,9,Kirstie Alley,27,9,2,2nd Place,3,,,,12,3,Chris Jericho,0.11320959241494351
12,10,Kirstie Alley,27.999899999999997,9.3333,2,2nd Place,3,,,,12,3,Petra Nemcova,0.09673148968786513
12,1,Hines Ward,21,7,1,1st Place,3,,,,12,3,Romeo,0.11439862783658632
12,2,Hines Ward,23,7.666666666666667,1,1st Place,3,,,,12,3,Wendy Williams,0.03796041564535047
12,3,Hines Ward,25,8.333333333333334,1,1st Place,3,,,,12,3,Kendra Wilkinson,0.10560716829776759
12,4,Hines Ward,25,8.333333333333334,1,1st Place,3,,,,12,4,Ralph Macchio,0.11014197723133796
12,5,Hines Ward,27,9,1,1st Place,3,,,,12,4,Chelsea Kane,0.11975814953702715
12,6,Hines Ward,27,9,1,1st Place,3,,,,12,4,Kirstie Alley,0.12432432448098137
12,7,Hines Ward,33,8.25,1,1st Place,4,,,,12,4,Hines Ward,0.11487637072771686
12,8,Hines Ward,27,9,1,1st Place,3,,,,12,4,Sugar Ray Leonard,0.03328680161239842
12,9,Hines Ward,30,10,1,1st Place,3,,,,12,4,Chris Jericho,0.12250750102805708
12,10,Hines Ward,29.666600000000003,9.888866666666667,1,1st Place,3,,,,12,4,Petra Nemcova,0.12096114767593812
12,1,Sugar Ray Leonard,17,5.666666666666667,9,Eliminated Week 4,3,,,,12,4,Romeo,0.12130367165247231
12,2,Sugar Ray Leonard,17,5.666666666666667,9,Eliminated Week 4,3,,,,12,4,Kendra Wilkinson,0.13284005605407073
12,3,Sugar Ray Leonard,20,6.666666666666667,9,Eliminated Week 4,3,,,,12,5,Ralph Macchio,0.15713320857950536
12,4,Sugar Ray Leonard,21,7,9,Eliminated Week 4,3,,,,12,5,Chelsea Kane,0.1302622868803993
12,1,Chris Jericho,19,6.333333333333333,7,Eliminated Week 6,3,,,,12,5,Kirstie Alley,0.13706711390680695
12,2,Chris Jericho,23,7.666666666666667,7,Eliminated Week 6,3,,,,12,5,Hines Ward,0.12603644087583485
12,3,Chris Jericho,21,7,7,Eliminated Week 6,3,,,,12,5,Chris Jericho,0.12984854312989672
12,4,Chris Jericho,23,7.666666666666667,7,Eliminated Week 6,3,,,,12,5,Petra Nemcova,0.03914152336065825
12,5,Chris Jericho,26,8.666666666666666,7,Eliminated Week 6,3,,,,12,5,Romeo,0.13164425986376865
12,6,Chris Jericho,22,7.333333333333333,7,Eliminated Week 6,3,,,,12,5,Kendra Wilkinson,0.14886662340312995
12,1,Petra Nemcova,18,6,8,Eliminated Week 5,3,,,,12,6,Ralph Macchio,0.1727390592111504
12,2,Petra Nemcova,18,6,8,Eliminated Week 5,3,,,,12,6,Chelsea Kane,0.1557381384684282
12,3,Petra Nemcova,25,8.333333333333334,8,Eliminated Week 5,3,,,,12,6,Kirstie Alley,0.15343233781129223
12,4,Petra Nemcova,23,7.666666666666667,8,Eliminated Week 5,3,,,,12,6,Hines Ward,0.1543665548566835
12,5,Petra Nemcova,22,7.333333333333333,8,Eliminated Week 5,3,,,,12,6,Chris Jericho,0.049974433522108334
12,1,Mike Catherwood,13,4.333333333333333,11,Eliminated Week 2,3,,,,12,6,Romeo,0.15568703457904087
12,2,Mike Catherwood,17,5.666666666666667,11,Eliminated Week 2,3,,,,12,6,Kendra Wilkinson,0.15806244155129642
12,1,Romeo,19,6.333333333333333,5,Eliminated Week 8,3,,,,12,7,Ralph Macchio,0.1802082390668249
12,2,Romeo,23,7.666666666666667,5,Eliminated Week 8,3,,,,12,7,Chelsea Kane,0.17763542403085497
12,3,Romeo,20,6.666666666666667,5,Eliminated Week 8,3,,,,12,7,Kirstie Alley,0.21203057840316425
12,4,Romeo,23,7.666666666666667,5,Eliminated Week 8,3,,,,12,7,Hines Ward,0.18108049960261935
12,5,Romeo,26,8.666666666666666,5,Eliminated Week 8,3,,,,12,7,Romeo,0.19419207626789797
12,6,Romeo,28,9.333333333333334,5,Eliminated Week 8,3,,,,12,7,Kendra Wilkinson,0.05485318262863863
12,7,Romeo,30,7.5,5,Eliminated Week 8,4,,,,12,8,Ralph Macchio,0.24692610078896632
12,8,Romeo,26,8.666666666666666,5,Eliminated Week 8,3,,,,12,8,Chelsea Kane,0.2222980286089927
12,1,Wendy Williams,14,4.666666666666667,10,Eliminated Week 3,3,,,,12,8,Kirstie Alley,0.22716983907395538
12,2,Wendy Williams,17,5.666666666666667,10,Eliminated Week 3,3,,,,12,8,Hines Ward,0.2335102320490657
12,3,Wendy Williams,15,5,10,Eliminated Week 3,3,,,,12,8,Romeo,0.07009579947901992
12,1,Kendra Wilkinson,18,6,6,Eliminated Week 7,3,,,,12,9,Ralph Macchio,0.1259364247802066
12,2,Kendra Wilkinson,19,6.333333333333333,6,Eliminated Week 7,3,,,,12,9,Chelsea Kane,0.26737289000628456
12,3,Kendra Wilkinson,23,7.666666666666667,6,Eliminated Week 7,3,,,,12,9,Kirstie Alley,0.307880632129019
12,4,Kendra Wilkinson,18,6,6,Eliminated Week 7,3,,,,12,9,Hines Ward,0.2988100530844898
12,5,Kendra Wilkinson,22,7.333333333333333,6,Eliminated Week 7,3,,,,12,10,Chelsea Kane,0.21126760563380279
12,6,Kendra Wilkinson,25,8.333333333333334,6,Eliminated Week 7,3,,,,12,10,Kirstie Alley,0.29577464788732394
12,7,Kendra Wilkinson,30.5,7.625,6,Eliminated Week 7,4,,,,12,10,Hines Ward,0.4929577464788732
13,1,Elisabetta Canalis,15,5,11,Eliminated Week 2,3,,,,13,1,Elisabetta Canalis,0.09177947061439981
13,2,Elisabetta Canalis,21,7,11,Eliminated Week 2,3,,,,13,1,David Arquette,0.08019754044321847
13,1,David Arquette,18,6,6,Eliminated Week 7,3,,,,13,1,Ricki Lake,0.08612884325550801
13,2,David Arquette,18,6,6,Eliminated Week 7,3,,,,13,1,J.R. Martinez,0.08858392139783756
13,3,David Arquette,24,8,6,Eliminated Week 7,3,,,,13,1,Metta World Peace (Ron),0.02536877573397192
13,4,David Arquette,23,7.666666666666667,6,Eliminated Week 7,3,,,,13,1,Hope Solo,0.08633240211747902
13,5,David Arquette,25,8.333333333333334,6,Eliminated Week 7,3,,,,13,1,Chynna Phillips,0.08531789051347405
13,6,David Arquette,23,7.666666666666667,6,Eliminated Week 7,3,,,,13,1,Kristin Cavallari,0.09031719448909502
13,7,David Arquette,23.5,7.833333333333333,6,Eliminated Week 7,3,,,,13,1,Carson Kressley,0.09202877271848464
13,1,Ricki Lake,20,6.666666666666667,3,3rd Place,3,,,,13,1,Chaz Bono,0.08445097661603737
13,2,Ricki Lake,23,7.666666666666667,3,3rd Place,3,,,,13,1,Nancy Grace,0.09966584968812814
13,3,Ricki Lake,27,9,3,3rd Place,3,,,,13,1,Rob Kardashian,0.08982836241236601
13,4,Ricki Lake,29,9.666666666666666,3,3rd Place,3,,,,13,2,Elisabetta Canalis,0.01819289203155404
13,5,Ricki Lake,24,8,3,3rd Place,3,,,,13,2,David Arquette,0.095213343387636
13,6,Ricki Lake,29,9.666666666666666,3,3rd Place,3,,,,13,2,Ricki Lake,0.09468086305828398
13,7,Ricki Lake,26.5,8.833333333333334,3,3rd Place,3,,,,13,2,J.R. Martinez,0.09399740758752022
13,8,Ricki Lake,26,8.666666666666666,3,3rd Place,3,,,,13,2,Hope Solo,0.11000775688183226
13,9,Ricki Lake,33.4999,11.166633333333332,3,3rd Place,3,,,,13,2,Chynna Phillips,0.0963975377668454
13,10,Ricki Lake,27.999899999999997,9.3333,3,3rd Place,3,,,,13,2,Kristin Cavallari,0.09711198346908825
13,1,J.R. Martinez,22,7.333333333333333,1,1st Place,3,,,,13,2,Carson Kressley,0.0985690046953271
13,2,J.R. Martinez,22,7.333333333333333,1,1st Place,3,,,,13,2,Chaz Bono,0.1024121744890918
13,3,J.R. Martinez,26,8.666666666666666,1,1st Place,3,,,,13,2,Nancy Grace,0.09894439347741021
13,4,J.R. Martinez,26,8.666666666666666,1,1st Place,3,,,,13,2,Rob Kardashian,0.09447264315541079
13,5,J.R. Martinez,28,9.333333333333334,1,1st Place,3,,,,13,3,David Arquette,0.10857203763537496
13,6,J.R. Martinez,29,9.666666666666666,1,1st Place,3,,,,13,3,Ricki Lake,0.0992437277390917
13,7,J.R. Martinez,24,8,1,1st Place,3,,,,13,3,J.R. Martinez,0.10282029536306701
13,8,J.R. Martinez,30,10,1,1st Place,3,,,,13,3,Hope Solo,0.09993076518125404
13,9,J.R. Martinez,28,9.333333333333334,1,1st Place,3,,,,13,3,Chynna Phillips,0.11083658452309009
13,10,J.R. Martinez,28.1665,9.388833333333332,1,1st Place,3,,,,13,3,Kristin Cavallari,0.0225232219244086
13,1,Metta World Peace (Ron),14,4.666666666666667,12,Eliminated Week 1,3,,,,13,3,Carson Kressley,0.1122347612186359
13,1,Hope Solo,21,7,4,Eliminated Week 9,3,,,,13,3,Chaz Bono,0.12412389263363714
13,2,Hope Solo,19,6.333333333333333,4,Eliminated Week 9,3,,,,13,3,Nancy Grace,0.11606414159528598
13,3,Hope Solo,24,8,4,Eliminated Week 9,3,,,,13,3,Rob Kardashian,0.10365057218615456
13,4,Hope Solo,24,8,4,Eliminated Week 9,3,,,,13,4,David Arquette,0.12192670251291918
